location,age,sex,year,mean,2.50%,97.50%,
Ethiopia,15_to_25,Female,2019,141427.6404,122467.9022,162970.0581,630630.9479
Ethiopia,15_to_25,Male,2019,164078.6376,142244.5644,189874.6311,
Ethiopia,25_to_35,Female,2019,83411.24159,71592.87144,96587.84009,
Ethiopia,25_to_35,Male,2019,75150.17674,63283.74235,88164.69089,
Ethiopia,35_to_45,Female,2019,67268.8227,58209.39532,77897.02885,
Ethiopia,35_to_45,Male,2019,55028.13111,46437.83107,64134.65552,
Ethiopia,45_to_50,Female,2019,21677.06476,18627.22306,25036.87142,
Ethiopia,45_to_50,Male,2019,22589.23303,19263.66132,26275.96521,
Kenya,15_to_25,Female,2019,87448.96669,74743.00027,102263.8124,387985.6412
Kenya,15_to_25,Male,2019,95801.67639,82002.28666,112105.6479,
Kenya,25_to_35,Female,2019,49204.77036,41210.08624,58393.81892,
Kenya,25_to_35,Male,2019,43673.83636,35950.29252,52702.94318,
Kenya,35_to_45,Female,2019,44468.17769,37369.13359,52661.25668,
Kenya,35_to_45,Male,2019,35791.25105,29625.20891,42879.79191,
Kenya,45_to_50,Female,2019,15825.3728,13201.47426,18696.71631,
Kenya,45_to_50,Male,2019,15771.58988,13107.65736,18827.75359,
South Africa,15_to_25,Female,2019,104265.9961,91027.46574,118926.6406,618416.1126
South Africa,15_to_25,Male,2019,110761.7376,95991.82329,126649.5871,
South Africa,25_to_35,Female,2019,96356.05921,84065.38659,110137.158,
South Africa,25_to_35,Male,2019,94113.98614,80457.26002,108744.5588,
South Africa,35_to_45,Female,2019,78866.81732,67677.98561,90925.31318,
South Africa,35_to_45,Male,2019,70959.16769,60827.46364,81304.56794,
South Africa,45_to_50,Female,2019,34922.952,29717.9885,40477.29856,
South Africa,45_to_50,Male,2019,28169.3965,24160.41152,32525.65628,
Uganda,15_to_25,Female,2019,74183.31512,65309.19984,83711.68942,308169.1633
Uganda,15_to_25,Male,2019,77416.89041,67898.09729,87922.8976,
Uganda,25_to_35,Female,2019,44264.08872,38791.70494,50457.23291,
Uganda,25_to_35,Male,2019,33494.55275,28380.433,38861.95428,
Uganda,35_to_45,Female,2019,32485.99076,28331.63614,37058.80351,
Uganda,35_to_45,Male,2019,24335.8475,21232.9034,27904.43889,
Uganda,45_to_50,Female,2019,11552.71915,10092.63229,13147.90209,
Uganda,45_to_50,Male,2019,10435.75891,9115.12171,11984.4856,